id,ghn_province_id
base.state_vn_VN-44,217
base.state_vn_VN-43,206
base.state_vn_VN-54,248
base.state_vn_VN-53,245
base.state_vn_VN-55,253
base.state_vn_VN-56,249
base.state_vn_VN-50,213
base.state_vn_VN-31,262
base.state_vn_VN-57,205
base.state_vn_VN-58,239
base.state_vn_VN-40,258
base.state_vn_VN-59,252
base.state_vn_VN-CT,220
base.state_vn_VN-04,246
base.state_vn_VN-DN,203
base.state_vn_VN-33,210
base.state_vn_VN-72,241
base.state_vn_VN-71,265
base.state_vn_VN-39,204
base.state_vn_VN-45,216
base.state_vn_VN-30,207
base.state_vn_VN-03,227
base.state_vn_VN-63,232
base.state_vn_VN-HN,201
base.state_vn_VN-23,236
base.state_vn_VN-61,225
base.state_vn_VN-HP,224
base.state_vn_VN-73,250
base.state_vn_VN-SG,202
base.state_vn_VN-14,267
base.state_vn_VN-66,268
base.state_vn_VN-34,208
base.state_vn_VN-47,219
base.state_vn_VN-28,259
base.state_vn_VN-01,264
base.state_vn_VN-35,209
base.state_vn_VN-09,247
base.state_vn_VN-02,269
base.state_vn_VN-41,211
base.state_vn_VN-67,231
base.state_vn_VN-22,235
base.state_vn_VN-18,233
base.state_vn_VN-36,261
base.state_vn_VN-68,229
base.state_vn_VN-32,260
base.state_vn_VN-24,237
base.state_vn_VN-27,243
base.state_vn_VN-29,242
base.state_vn_VN-13,230
base.state_vn_VN-25,238
base.state_vn_VN-52,218
base.state_vn_VN-05,266
base.state_vn_VN-37,240
base.state_vn_VN-20,226
base.state_vn_VN-69,244
base.state_vn_VN-21,234
base.state_vn_VN-26,223
base.state_vn_VN-46,212
base.state_vn_VN-51,214
base.state_vn_VN-07,228
base.state_vn_VN-49,215
base.state_vn_VN-70,221
base.state_vn_VN-06,263
